показатель,значение
Выпуск,1.0
Инфляция,-4.1359880323070897e-13
Номинальная ставка,0.012499999998879612
Среднее потребление,0.5503067452395102
Доля домохозяйств с низкой ликвидностью,0.5933819694104535
Медианное ликвидное богатство,0.08897052667346173
Медианное неликвидное богатство,7.125231940055185
Средняя MPC,0.10616847305520215
Медианная MPC,0.08515434219915004
Доля домохозяйств с MPC выше 0.2,0.06539822808100489
Доля состоятельных домохозяйств с низкой ликвидностью (WHtM),0.3574695597801803
