scenario_name,scenario_label,comparison_name,delta_inflation_loss,delta_output_gap_loss,delta_rate_change_loss
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,filtered_selected_vs_filtered_classical,-0.00016293190594767742,-0.005242682100469744,-2.7053416212860907e-07
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,filtered_selected_vs_full_information_classical,-0.00011322084219240001,-0.0037696763435373015,-3.112814212270758e-07
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,filtered_selected_vs_raw_selected,7.645614951477675e-06,0.00018210962181036417,-2.3257779053304777e-08
macro_core_strong_gap,Базовый макроэкономический набор × высокая разделимость режимов,filtered_selected_vs_filtered_classical,-0.00022292376944313183,-0.00565850165258471,-3.441335755826522e-07
macro_core_strong_gap,Базовый макроэкономический набор × высокая разделимость режимов,filtered_selected_vs_full_information_classical,-0.00016587629807728122,-0.004270339130563961,-4.5618152422396697e-07
macro_core_strong_gap,Базовый макроэкономический набор × высокая разделимость режимов,filtered_selected_vs_raw_selected,9.856842907294078e-06,0.00019580907373501424,-2.3484311199723497e-08
thin_information_moderate_gap,Ограниченный информационный набор × умеренная разделимость режимов,filtered_selected_vs_filtered_classical,-0.00014568041815551193,-0.0046724573111138635,-2.4639669017116767e-07
thin_information_moderate_gap,Ограниченный информационный набор × умеренная разделимость режимов,filtered_selected_vs_full_information_classical,-6.572443102175154e-05,-0.0023328489266008687,-3.136852930123479e-07
thin_information_moderate_gap,Ограниченный информационный набор × умеренная разделимость режимов,filtered_selected_vs_raw_selected,-1.3146767064948712e-05,-0.00048567958075882155,-1.619448205966731e-07
thin_information_strong_gap,Ограниченный информационный набор × высокая разделимость режимов,filtered_selected_vs_filtered_classical,-0.0002486386599981166,-0.0062807443353992635,-2.758841792963243e-07
thin_information_strong_gap,Ограниченный информационный набор × высокая разделимость режимов,filtered_selected_vs_full_information_classical,-0.00012009384881319126,-0.003293242120381755,-3.900849796224122e-07
thin_information_strong_gap,Ограниченный информационный набор × высокая разделимость режимов,filtered_selected_vs_raw_selected,-0.00015425964276652708,-0.003868775657961067,-3.154759751270774e-07
