scenario_name,scenario_label,comparison_name,delta_inflation_component,delta_output_component,delta_rate_component
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,extended_vs_linear,-3.074194561450926e-06,-0.00010409147881751358,-9.471144599188091e-09
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,linear_vs_classical,-0.00017355199486749278,-0.005657528600496683,-5.334510549518345e-07
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,linear_vs_history,4.739768710125288e-06,0.0001566786450763723,1.4851756752904164e-08
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,ppo_extended_vs_extended_linear,8.270187060369487e-05,0.0027112400939430913,2.444798194299253e-07
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,ppo_taylor_vs_linear,5.268662806736445e-05,0.0017183302035725,2.177906082437808e-07
macro_core_strong_gap,Базовый макроэкономический набор × высокая разделимость режимов,extended_vs_linear,-2.299004797018702e-06,-6.486236691085066e-05,-8.973348649142018e-09
macro_core_strong_gap,Базовый макроэкономический набор × высокая разделимость режимов,linear_vs_classical,-0.00026515035331232966,-0.006867418527908596,-8.252895817596383e-07
macro_core_strong_gap,Базовый макроэкономический набор × высокая разделимость режимов,linear_vs_history,3.4334685238089987e-06,9.226916989489581e-05,1.1800776080758924e-08
macro_core_strong_gap,Базовый макроэкономический набор × высокая разделимость режимов,ppo_extended_vs_extended_linear,0.0001762913958222016,0.004538607161357089,4.841491239572654e-07
macro_core_strong_gap,Базовый макроэкономический набор × высокая разделимость режимов,ppo_taylor_vs_linear,0.00018556741456038177,0.004776385473592012,6.765089202465817e-07
thin_information_moderate_gap,Ограниченный информационный набор × умеренная разделимость режимов,extended_vs_linear,-2.41067934077343e-06,-7.876978531825783e-05,-9.652416835289437e-09
thin_information_moderate_gap,Ограниченный информационный набор × умеренная разделимость режимов,linear_vs_classical,-0.00017332124216582175,-0.005486861580860713,-4.827942973880991e-07
thin_information_moderate_gap,Ограниченный информационный набор × умеренная разделимость режимов,linear_vs_history,4.18460503219735e-06,0.00013438138488248663,1.493979831968566e-08
thin_information_moderate_gap,Ограниченный информационный набор × умеренная разделимость режимов,ppo_extended_vs_extended_linear,2.3917673260384324e-05,0.0007526336791512815,1.633451491534284e-07
thin_information_moderate_gap,Ограниченный информационный набор × умеренная разделимость режимов,ppo_taylor_vs_linear,9.378392856983095e-05,0.002923045818364119,3.039310833777765e-07
thin_information_strong_gap,Ограниченный информационный набор × высокая разделимость режимов,extended_vs_linear,-4.819720825904705e-07,-1.2821413867265574e-05,-2.922518705834913e-09
thin_information_strong_gap,Ограниченный информационный набор × высокая разделимость режимов,linear_vs_classical,-0.00028717589455610955,-0.007002607561577853,-6.865107792853016e-07
thin_information_strong_gap,Ограниченный информационный набор × высокая разделимость режимов,linear_vs_history,2.822043953138123e-06,7.080958386590025e-05,1.1619921070130176e-08
thin_information_strong_gap,Ограниченный информационный набор × высокая разделимость режимов,ppo_extended_vs_extended_linear,0.00018143142464316857,0.004351351499963715,3.9516314146013663e-07
thin_information_strong_gap,Ограниченный информационный набор × высокая разделимость режимов,ppo_taylor_vs_linear,0.0001954500178372973,0.004774982392002868,5.870430999980623e-07
