scenario_name,scenario_label,policy_name,solver_success,scale_used,solver_error,mean_shock_abs,peak_shock_abs,full_hank_cumulative_loss,peak_inflation_abs,peak_output_gap_abs,peak_consumption_abs,peak_rate_abs
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,classical_filtered_rule,1,0.25,,0.0008368831241704236,0.0016960007354644621,0.0001247972528203206,0.0020307870923688656,0.0013646664574374912,0.0007264434004397025,0.002070020685926861
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,optimized_linear_estimated_state,1,1.0,,5.878260789697131e-05,0.00013557498805706687,1.096737492630456e-05,0.0006878997724397892,0.0003628434181460749,0.00019747307406892123,0.000714294680638494
macro_core_moderate_gap,Базовый макроэкономический набор × умеренная разделимость режимов,history_observables_rule,1,1.0,,2.044557625046165e-05,4.4724922539686185e-05,1.2667959770864804e-06,0.00023073506356572067,0.00010844493397521582,5.708540286597508e-05,0.00023856744884755225
macro_core_strong_gap,Базовый макроэкономический набор × высокая разделимость режимов,classical_filtered_rule,1,0.25,,0.0010216254478427097,0.001649667034584112,0.0001873324274192958,0.002253412146113275,0.001659251082293034,0.0009129310757757247,0.0023207333871129747
macro_core_strong_gap,Базовый макроэкономический набор × высокая разделимость режимов,optimized_linear_estimated_state,1,1.0,,7.154729165320517e-05,0.00013353569888391347,1.4530867936803176e-05,0.0006315814320480998,0.00041220199438785077,0.0002310825622137136,0.0006535775271017383
macro_core_strong_gap,Базовый макроэкономический набор × высокая разделимость режимов,history_observables_rule,1,1.0,,2.9404359282481944e-05,5.3191183900332814e-05,1.9242469984737224e-06,0.0002523566041511248,0.0001507969283661703,9.22362544245603e-05,0.00027249436312752894
thin_information_moderate_gap,Ограниченный информационный набор × умеренная разделимость режимов,classical_filtered_rule,1,0.25,,0.0008640361630055657,0.0017572710043312146,0.000134584922114408,0.002125092858277543,0.0015264937306470605,0.0007653592433346512,0.0021687709258786094
thin_information_moderate_gap,Ограниченный информационный набор × умеренная разделимость режимов,optimized_linear_estimated_state,1,1.0,,5.557001069861461e-05,0.0001315583667483373,9.934975667562238e-06,0.0006576989773203113,0.0003542703196801611,0.00019198783343277182,0.0006834284264588448
thin_information_moderate_gap,Ограниченный информационный набор × умеренная разделимость режимов,history_observables_rule,1,1.0,,2.044557625046165e-05,4.4724922539686185e-05,1.2667959770864804e-06,0.00023073506356572067,0.00010844493397521582,5.708540286597508e-05,0.00023856744884755225
thin_information_strong_gap,Ограниченный информационный набор × высокая разделимость режимов,classical_filtered_rule,1,0.25,,0.000973881778901671,0.001659620012556536,0.00017497697792988578,0.0021724765124661437,0.0016189904213043116,0.0008571373139732996,0.002252616044881822
thin_information_strong_gap,Ограниченный информационный набор × высокая разделимость режимов,optimized_linear_estimated_state,1,1.0,,6.681459852435222e-05,0.0001224867280006338,1.2399376716441093e-05,0.0005783868897136082,0.00037862179532988094,0.00021389029222185219,0.0006052752202264223
thin_information_strong_gap,Ограниченный информационный набор × высокая разделимость режимов,history_observables_rule,1,1.0,,2.9404359282481944e-05,5.3191183900332814e-05,1.9242469984737224e-06,0.0002523566041511248,0.0001507969283661703,9.22362544245603e-05,0.00027249436312752894
